"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url","Att (GK)_Passes"
2025,"Liverpool","Premier League","Vitezslav Jaros","CZE","GK","23-086",2001,0.1,0,0,0,0,0,0,0.03,0,0.25,5,7,71.4,NA,2,85.7,50.9,1,100,59,2,0,0,0,0,11,"https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros",7
2025,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","25-329",1998,1,0,0,0,0,0,1.5,0.25,1.5,1.53,3,6,50,NA,8,13.6,21.2,0,NA,NA,17,1,5.9,0,0,10,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher",44
2025,"Lyon","Ligue 1","Lucas Perri","BRA","GK","26-312",1997,7,12,0,1,1,0,13.3,0.33,1.3,0.18,20,74,27,NA,38,34.3,33,35,37.1,39,90,8,8.9,13,1.86,16.9,"https://fbref.com/en/players/5dbd461a/Lucas-Perri",178
2025,"Mainz 05","Bundesliga","Robin Zentner","GER","GK","29-355",1994,6,10,1,1,1,0,10.8,0.28,0.8,0.13,35,110,31.8,NA,37,44.5,38.4,52,63.5,51.3,146,10,6.8,14,2.33,14.7,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner",173
2025,"Mallorca","La Liga","Dominik Greif","SVK","GK","27-194",1997,6,7,0,0,1,0,6,0.24,-1,-0.16,23,74,31.1,NA,23,40,37.2,30,53.3,44.4,81,2,2.5,1,0.17,7.8,"https://fbref.com/en/players/30061f53/Dominik-Greif",145
2025,"Mallorca","La Liga","Leo Román","ESP","GK","24-103",2000,3,1,0,0,0,0,2.1,0.16,1.1,0.36,16,50,32,NA,4,48.7,39.6,23,56.5,51.6,50,0,0,0,0,12,"https://fbref.com/en/players/924ff27e/Leo-Roman",76
2025,"Manchester City","Premier League","Ederson","BRA","GK","31-061",1993,7,8,1,0,1,1,8.3,0.36,1.3,0.19,23,57,40.4,NA,20,21.6,28.5,14,42.9,39.9,67,1,1.5,14,2,18.5,"https://fbref.com/en/players/3bb7b8b4/Ederson",236
2025,"Manchester Utd","Premier League","André Onana","CMR","GK","28-198",1996,7,8,0,0,2,0,11.1,0.39,3.1,0.45,27,77,35.1,NA,39,23.6,27,19,63.2,46.9,74,4,5.4,9,1.29,15.4,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana",275
2025,"Marseille","Ligue 1","Gerónimo Rulli","ARG","GK","32-150",1992,7,8,0,1,2,0,8.5,0.24,0.5,0.07,23,72,31.9,NA,35,22.3,26.9,34,55.9,41.4,104,8,7.7,14,2,17,"https://fbref.com/en/players/625c144a/Geronimo-Rulli",238
2025,"Milan","Serie A","Mike Maignan","FRA","GK","29-106",1995,7,9,0,0,0,1,7.5,0.25,-0.5,-0.06,17,39,43.6,NA,41,12.7,25.5,24,37.5,42.2,73,4,5.5,19,2.71,20.5,"https://fbref.com/en/players/fcb38f57/Mike-Maignan",237
2025,"Monaco","Ligue 1","Philipp Köhn","SUI","GK","26-198",1998,7,4,1,0,0,0,4.1,0.18,0.1,0.01,22,64,34.4,NA,22,28.8,31.4,44,45.5,38.2,80,6,7.5,8,1.14,14.1,"https://fbref.com/en/players/ff74841d/Philipp-Kohn",153
2025,"Montpellier","Ligue 1","Dimitry Bertaud","COD","GK","26-133",1998,3,8,1,0,0,0,6.3,0.36,-1.7,-0.56,18,42,42.9,NA,14,42.4,36.5,25,56,44.8,43,8,18.6,2,0.67,12.8,"https://fbref.com/en/players/380a15e2/Dimitry-Bertaud",66
